Inst.	n	m	Raio	%D	U	fo_CPLEX	Status_CPLEX	t_CPLEX (s)	fo_BT	t_BT (s)
GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat	100	10000	3.25	0.7	0,05	533	Optimal	229.63	590	1116.207192
GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat	100	10000	3.5	0.7	0,05	442	Optimal	654.6	451	1161.776763
GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat	100	10000	3.75	0.7	0,05	395	Optimal	2807.01	401	1619.20369
GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat	100	10000	4.25	0.7	0,05	348	Optimal	21717.2	348	180.666611
GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat	100	50000	5.5	0.5	0,05	376	Optimal	58879.3	377	175.935396
GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat	100	50000	5.75	0.5	0,05	376	Optimal	18716.9	377	97.875992
GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat	100	50000	6	0.5	0,05	376	AbortTimeLim	86362.8	377	68.158081
GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat	100	50000	6.25	0.5	0,05	376	AbortTimeLim	86372.3	376	40.72429
GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat	100	50000	4	0.6	0,05	403	Optimal	28564	410	3625.385907
GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat	100	50000	4.25	0.6	0,05	398	AbortTimeLim	86386.9	402	1571.195721
GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat	100	50000	4.5	0.6	0,05	386	AbortTimeLim	86388.8	386	714.12708
GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat	100	50000	4.75	0.6	0,05	386	AbortTimeLim	86384.4	386	870.10287
GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat	100	50000	5	0.6	0,05	387	AbortTimeLim	86389.7	386	758.823913
GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat	100	50000	3.25	0.7	0,05	611	Optimal	9394.07	712	5878.056346
GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat	100	50000	3.5	0.7	0,05	508	AbortTimeLim	86350.3	560	6450.22856
GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat	100	50000	3.75	0.7	0,05	463	AbortTimeLim	86343.7	482	3589.65391
GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat	100	50000	4.25	0.7	0,05	420	AbortTimeLim	86381.8	420	6396.490168
GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat	100	1000	5.5	0.5	0,02	1531	Optimal	7.66	1531	0.109297
GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat	100	1000	5.75	0.5	0,02	1531	Optimal	7.4	1531	0.111042
GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat	100	1000	6	0.5	0,02	1531	Optimal	2.37	1531	0.115204
GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat	100	1000	6.25	0.5	0,02	1531	Optimal	2.79	1531	0.123141
GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat	100	1000	4	0.6	0,02	1535	Optimal	134.63	1543	27.739004
GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat	100	1000	4.25	0.6	0,02	1535	Optimal	4.7	1535	18.867617
GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat	100	1000	4.5	0.6	0,02	1531	Optimal	94.56	1531	20.292534
GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat	100	1000	4.75	0.6	0,02	1531	Optimal	36.46	1531	1.999897
GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat	100	1000	5	0.6	0,02	1531	Optimal	45.76	1531	6.218519
GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat	100	1000	3.25	0.7	0,02	1614	Optimal	281.45	1614	445.23099
GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat	100	1000	3.5	0.7	0,02	1598	Optimal	479.68	1601	752.361974
GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat	100	1000	3.75	0.7	0,02	1577	Optimal	260.05	1577	99.471256
GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat	100	1000	4.25	0.7	0,02	1559	Optimal	33.82	1559	52.298338
GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat	100	10000	5.5	0.5	0,02	1521	Optimal	504.61	1521	1.611104
GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat	100	10000	5.75	0.5	0,02	1521	Optimal	775.94	1521	1.604055
GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat	100	10000	6	0.5	0,02	1521	Optimal	222.27	1521	1.572179
GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat	100	10000	6.25	0.5	0,02	1521	Optimal	1371.11	1521	1.597373
GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat	100	10000	4	0.6	0,02	1521	Optimal	45.64	1521	6.338112
GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat	100	10000	4.25	0.6	0,02	1521	Optimal	896.67	1521	1.669915
GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat	100	10000	4.5	0.6	0,02	1521	Optimal	92.54	1521	1.675328
GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat	100	10000	4.75	0.6	0,02	1521	Optimal	250.23	1521	1.660295
GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat	100	10000	5	0.6	0,02	1521	Optimal	358.39	1521	1.653248
GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat	100	10000	3.25	0.7	0,02	1521	Optimal	1261.68	1521	120.49661
GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat	100	10000	3.5	0.7	0,02	1521	Optimal	1625.49	1521	93.76516
GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat	100	10000	3.75	0.7	0,02	1521	Optimal	475.14	1521	29.41756
GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat	100	10000	4.25	0.7	0,02	1521	Optimal	201.16	1521	19.7988
GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat	100	50000	5.5	0.5	0,02	1588	Optimal	68859.4	1588	8.990835
GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat	100	50000	5.75	0.5	0,02	1588	Optimal	54433.5	1588	8.92436
GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat	100	50000	6	0.5	0,02	1588	AbortTimeLim	86387.1	1588	8.885312
GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat	100	50000	6.25	0.5	0,02	1588	AbortTimeLim	86377.6	1588	8.873103
GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat	100	50000	4	0.6	0,02	1588	AbortTimeLim	86372.6	1594	224.613815
GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat	100	50000	4.25	0.6	0,02	1588	AbortTimeLim	86380.4	1588	30.737
GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat	100	50000	4.5	0.6	0,02	1588	AbortTimeLim	86377.4	1588	31.0289
GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat	100	50000	4.75	0.6	0,02	1588	AbortTimeLim	86371.4	1588	31.7582
GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat	100	50000	5	0.6	0,02	1588	AbortTimeLim	86376.4	1588	32.8453
GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat	100	50000	3.25	0.7	0,02	1615	Optimal	17658	1615	3673.554302
GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat	100	50000	3.5	0.7	0,02	1599	Optimal	17768.5	1599	1723.85354
GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat	100	50000	3.75	0.7	0,02	1594	Optimal	7829.74	1594	983.27346
GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat	100	50000	4.25	0.7	0,02	1588	Optimal	14339.4	1588	442.86337
